Name of spirit|Additional description|Vintage|Offer & unit size|Price|URL|Minimum order|Offer type|Standard delivery time|URL for label image|Stock level
Aberlour 16 Year Old Double Cask Matured Speyside Single Malt Scotch Whisky||16|700ml|$186.00|https://www.alcoholflows.sg/products/aberlour-16-year-old-700ml-43-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/9YyXk4E5lz.jpg|3
Douglas Laing Big Peat Islay Blended Malt Scotch Whisky||NV|700ml|$168.00|https://www.alcoholflows.sg/products/douglas-laing-big-peat-700ml-46-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/6KvVkgvY2R.jpg|6
Douglas Laing Rock Island 21 Year Old Island Blended Malt Scotch Whisky||21|700ml|$258.00|https://www.alcoholflows.sg/products/douglas-laing-rock-island-21-year-old-700ml-46-8-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/EW2Xq152WN.jpg|3
Douglas Laing Scallywag 12 Year Old Cask Strength Speyside Blended Malt Scotch Whisky||12|700ml|$198.00|https://www.alcoholflows.sg/products/douglas-laing-scallywag-12-year-old-cask-strength-700ml-53-6-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/j6kg0zlOYB_m.jpg|6
Douglas Laing Timorous Beastie Highland Blended Malt Scotch Whisky||NV|700ml|$168.00|https://www.alcoholflows.sg/products/douglas-laing-timorous-beastie-700ml-46-8-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/JW2KQ9PGEo.jpg|6
Finlaggan Eilean Mor Islay Single Malt Scotch Whisky||NV|700ml|$129.00|https://www.alcoholflows.sg/products/finlaggan-eilean-mor-700ml-46-7-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/2DoJzEAyjW.jpg|6
Finlaggan Port Finish Islay Single Malt Scotch Whisky||NV|700ml|$135.00|https://www.alcoholflows.sg/products/finlaggan-port-wood-finish-700ml-46-7-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/rVvqZMWJvw.jpg|6
Finlaggan Red Wine Cask Matured Islay Single Malt Scotch Whisky||NV|700ml|$135.00|https://www.alcoholflows.sg/products/finlaggan-red-wine-cask-finish-700ml-46-7-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/LW2191q8y4.jpg|6
Lagavulin 10 Year Old Islay Single Malt Scotch Whisky||10|700ml|$199.00|https://www.alcoholflows.sg/products/lagavulin-10-year-old-70ml-43-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/3VprQlgKMR.jpg|6
Tullibardine 225 Sauternes Cask Finish Highland Single Malt Scotch Whisky||NV|700ml|$139.00|https://www.alcoholflows.sg/products/tullibardine-225-sauternes-cask-finish-700ml-46-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/j6kgnwEv8Y.jpg|6
Tullibardine 228 Burgundy Cask Finish Highland Single Malt Scotch Whisky||NV|700ml|$139.00|https://www.alcoholflows.sg/products/tullibardine-228-burgundy-cask-finish-700ml-46-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/2DoqgOzjYN.jpg|6
Tullibardine 500 Sherry Finish Highland Single Malt Scotch Whisky||NV|700ml|$139.00|https://www.alcoholflows.sg/products/tullibardine-500-sherry-cask-finish-700ml-46-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/j6kgvxqLqB.jpg|6
Bunnahabhain 12 Year Old Islay Single Malt Scotch Whisky||12|700ml|$149.00|https://www.alcoholflows.sg/products/bunnahabhain-12-year-old-700ml-46-3-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/mNnXL5pzW3.jpg|6
Glenallachie 12 Year Old Speyside Single Malt Scotch Whisky||12|700ml|$143.00|https://www.alcoholflows.sg/products/glenallachie-12-year-old-700ml-46-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/NW2KkA08J2.jpg|6
Glendronach Cask Strength Batch 8 Highland Single Malt Scotch Whisky||NV|700ml|$199.00|https://www.alcoholflows.sg/products/glendronach-cask-strength-batch-8-700ml-61-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/GWoyvRqGn3.jpg|6
Ardbeg Traigh Bhan 19 Year Old Batch 1 Islay Single Malt Scotch Whisky||19|700ml|$559.00|https://www.alcoholflows.sg/products/ardbeg-traigh-bhan-19-year-old-batch-1-700ml-46-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/AK2OBmQz8j.jpg|1
Glenmorangie 18 Year Old Highland Single Malt Scotch Whisky||18|750ml|$179.00|https://www.alcoholflows.sg/products/glenmorangie-18-year-old-750ml-43-gb|"No minimum purchase amount. Free shipping in Singapore over 300 SGD"|DP|Standard delivery 1 week|https://cdn.myshopmatic.com/images/NNG3X8/zYE4mOYLoZ.jpg|1
